UF;COD. UF;COD. MUNIC;CD_MUN;NOME DO MUNICÍPIO;POPULACAO
SP;35;18305;3518305;Guararema;32579
PR;41;22206;4122206;Rio Branco do Sul;32566
AL;27;04500;2704500;Maragogi;32540
PB;25;12101;2512101;Pombal;32499
BA;29;17706;2917706;Jaguarari;32495
SP;35;05609;3505609;Barrinha;32465
RS;43;02808;4302808;Caçapava do Sul;32447
MA;21;08306;2108306;Penalva;32436
SP;35;08603;3508603;Cachoeira Paulista;32390
SC;42;16305;4216305;São João Batista;32360
MG;31;32503;3132503;Itamarandiba;32321
MS;50;03306;5003306;Coxim;32302
RS;43;08508;4308508;Frederico Westphalen;32284
CE;23;10258;2310258;Paraipaba;32278
PB;25;09701;2509701;Monteiro;32266
PB;25;13901;2513901;São Bento;32252
SC;42;13609;4213609;Porto União;32190
PI;22;06209;2206209;Miguel Alves;32151
MG;31;46008;3146008;Ouro Fino;32131
SP;35;19303;3519303;Ibaté;32068
SP;35;50209;3550209;São Miguel Arcanjo;32062
AL;27;01407;2701407;Campo Alegre;32020
GO;52;15702;5215702;Palmeiras de Goiás;32004
SP;35;01707;3501707;Américo Brasiliense;31996
BA;29;04902;2904902;Cachoeira;31982
PE;26;04205;2604205;Catende;31975
PR;41;08809;4108809;Guaíra;31971
MA;21;06607;2106607;Matões;31954
PR;41;13304;4113304;Laranjeiras do Sul;31953
PA;15;03101;1503101;Gurupá;31945
SP;35;13702;3513702;Descalvado;31916
RS;43;07807;4307807;Estrela;31909
MA;21;12456;2112456;Turilândia;31875
MS;50;07695;5007695;São Gabriel do Oeste;31846
PR;41;11258;4111258;Itaperuçu;31843
PE;26;05301;2605301;Exu;31803
AL;27;08808;2708808;São Sebastião;31788
TO;17;02208;1702208;Araguatins;31719
BA;29;25501;2925501;Prado;31715
MG;31;28006;3128006;Guanhães;31702
SC;42;05456;4205456;Forquilhinha;31692
PR;41;04253;4104253;Campo Magro;31678
SE;28;01306;2801306;Capela;31674
MA;21;09452;2109452;Raposa;31667
MA;21;03703;2103703;Cururupu;31662
SC;42;19705;4219705;Xaxim;31625
PE;26;14105;2614105;Sertânia;31593
SP;35;05203;3505203;Bariri;31584
SP;35;00303;3500303;Aguaí;31561
PR;41;14104;4114104;Mandaguaçu;31544
SP;35;44004;3544004;Rio das Pedras;31503
MG;31;36652;3136652;Juatuba;31409
PR;41;22305;4122305;Rio Negro;31406
MG;31;16605;3116605;Cláudio;31388
PA;15;07706;1507706;São Sebastião da Boa Vista;31336
PR;41;02406;4102406;Bandeirantes;31309
MG;31;08602;3108602;Brasília de Minas;31246
PB;25;06004;2506004;Esperança;31241
SP;35;34609;3534609;Osvaldo Cruz;31222
MA;21;07803;2107803;Parnarama;31179
